"Event","Unit","Time","Track","Channel","NoteName","NoteNumber","NoteUnits","NoteDuration","NoteOnVelocity","NoteOffVelocity","ControllerNr","ControllerValue","TextType","Text","Program","TempoBPM","TempoMicroseconds","Pitchbend","Aftertouch","MeterNom","MeterDenom","MeterUnits","MeterNote32","Resolution","MIDIVersion","Sysex","MetaType","MetaData","Key","PolyKey","PolyValue","RealtimeEvent","RealtimeValue",
"NoteOff",3178,7495,4,1,"f#5",66,,,,0
"NoteOff",3180,7499,4,1,"c#5",61,,,,0
"NoteOff",3205,7558,3,10,"f#3",42,,,,0
"NoteOff",3210,7570,3,10,"d#4",51,,,,0
"NoteOff",3280,7735,2,2,"b2",35,,,,0
"NoteOn",3292,7764,3,10,"b2",35,73,172,13,
"NoteOn",3294,7768,4,1,"f#7",90,34,81,97,
"NoteOn",3294,7768,4,1,"c#7",85,26,62,89,
"NoteOn",3294,7768,4,1,"f#6",78,30,71,86,
"NoteOn",3310,7806,3,10,"d#4",51,73,172,70,
"NoteOff",3320,7830,4,1,"c#7",85,,,,0
"NoteOff",3324,7839,4,1,"f#6",78,,,,0
"NoteOff",3328,7849,4,1,"f#7",90,,,,0
"NoteOff",3365,7936,3,10,"b2",35,,,,0
"NoteOn",3365,7936,3,10,"f#3",42,80,188,70,
"NoteOn",3369,7945,2,2,"e3",40,416,981,64,
"NoteOn",3370,7948,3,10,"d#4",51,80,188,70,
"NoteOn",3370,7948,4,1,"g#4",56,59,139,53,
"NoteOn",3371,7950,4,1,"f#5",66,57,134,51,
"NoteOn",3373,7955,4,1,"d5",62,45,106,60,
"NoteOn",3373,7955,4,1,"c#5",61,50,118,49,
"NoteOff",3383,7978,3,10,"d#4",51,,,,0
"NoteOff",3418,8061,4,1,"d5",62,,,,0
"NoteOff",3423,8073,4,1,"c#5",61,,,,0
"NoteOff",3428,8084,4,1,"f#5",66,,,,0
"NoteOff",3429,8087,4,1,"g#4",56,,,,0
"NoteOff",3445,8124,3,10,"f#3",42,,,,0
"NoteOff",3450,8136,3,10,"d#4",51,,,,0
"NoteOn",3602,8495,3,10,"c#3",37,34,80,76,
"NoteOn",3605,8502,3,10,"f#3",42,80,189,80,
"NoteOn",3610,8514,3,10,"d#4",51,80,188,70,
"NoteOn",3614,8523,4,1,"g#4",56,47,111,68,
"NoteOn",3615,8525,4,1,"c#5",61,43,102,72,
"NoteOn",3615,8525,4,1,"d5",62,44,104,78,
"NoteOn",3617,8530,4,1,"f#5",66,37,87,66,
"NoteOff",3636,8575,3,10,"c#3",37,,,,0
"NoteOff",3654,8617,4,1,"f#5",66,,,,0
"NoteOff",3658,8627,4,1,"c#5",61,,,,0
"NoteOff",3659,8629,4,1,"d5",62,,,,0
"NoteOff",3661,8634,4,1,"g#4",56,,,,0
"NoteOff",3685,8691,3,10,"f#3",42,,,,0
"NoteOff",3690,8702,3,10,"d#4",51,,,,0
"NoteOff",3785,8926,2,2,"e3",40,,,,0
"NoteOn",3786,8929,4,1,"c#7",85,44,104,113,
"NoteOn",3792,8943,3,10,"d#4",51,73,172,70,
"NoteOff",3830,9033,4,1,"c#7",85,,,,0
"NoteOn",3844,9066,2,2,"a#2",34,392,924,81,
"NoteOn",3845,9068,3,10,"f#3",42,80,189,70,
"NoteOn",3850,9080,3,10,"d#4",51,80,188,70,
"NoteOn",3856,9094,4,1,"g#4",56,81,191,60,
"NoteOn",3857,9096,4,1,"f7",89,80,189,91,
"NoteOn",3857,9096,4,1,"c5",60,81,191,68,
"NoteOn",3857,9096,4,1,"c#7",85,56,132,79,
"NoteOn",3857,9096,4,1,"a#6",82,71,168,99,
"NoteOn",3858,9099,4,1,"c#5",61,82,193,73,
"NoteOn",3859,9101,4,1,"f6",77,67,158,70,
"NoteOn",3859,9101,4,1,"f5",65,85,200,63,
"NoteOff",3865,9115,3,10,"d#4",51,,,,0
"NoteOff",3913,9228,4,1,"c#7",85,,,,0
"NoteOff",3925,9257,3,10,"f#3",42,,,,0
"NoteOff",3926,9259,4,1,"f6",77,,,,0
"NoteOff",3928,9264,4,1,"a#6",82,,,,0
"NoteOff",3930,9268,3,10,"d#4",51,,,,0
"NoteOff",3937,9285,4,1,"g#4",56,,,,0
"NoteOff",3937,9285,4,1,"f7",89,,,,0
"NoteOff",3938,9287,4,1,"c5",60,,,,0
"NoteOff",3940,9292,4,1,"c#5",61,,,,0
"NoteOff",3944,9301,4,1,"f5",65,,,,0
"NoteOn",4017,9474,3,10,"d#4",51,73,172,70,
"NoteOn",4077,9615,4,1,"c5",60,83,196,51,
"NoteOn",4079,9620,4,1,"c#5",61,79,186,56,
"NoteOn",4079,9620,4,1,"f5",65,84,198,53,
"NoteOn",4079,9620,4,1,"g#4",56,84,198,57,
"NoteOn",4083,9629,4,1,"f6",77,96,227,49,
"NoteOn",4085,9634,3,10,"f#3",42,80,189,80,
"NoteOn",4086,9636,4,1,"a#6",82,86,203,57,
"NoteOff",4090,9646,3,10,"d#4",51,,,,0
